== sym_conc: ../data/12302019.NASDAQ_ITCH50.gz (268744780 msgs, 8892 symbols with orders) ==
top symbols by peak concurrent open orders:
  loc  symbol          peak
  393  AMZN           37068   (cum top-1 = 37068)
  13   AAPL           27110   (cum top-2 = 64178)
  5291 MSFT           23005   (cum top-3 = 87183)
  7992 TSLA           17482   (cum top-4 = 104665)
  2737 FB             14736   (cum top-5 = 119401)
  1730 CSCO           13408   (cum top-6 = 132809)
  5708 NVDA           12800   (cum top-7 = 145609)
  344  AMD            11614   (cum top-8 = 157223)
  5497 NFLX           11560   (cum top-9 = 168783)
  6815 ROKU           10072   (cum top-10 = 178855)
  5332 MU              9845   (cum top-11 = 188700)
  6556 QQQ             8847   (cum top-12 = 197547)
  4184 INTC            8609   (cum top-13 = 206156)
  1151 BYND            8423   (cum top-14 = 214579)
  6998 SBUX            8384   (cum top-15 = 222963)
  6521 QCOM            7925   (cum top-16 = 230888)
  3459 GOOGL           7487   (cum top-17 = 238375)
  4587 KHC             7093   (cum top-18 = 245468)
  3458 GOOG            7017   (cum top-19 = 252485)
  1637 COST            6958   (cum top-20 = 259443)
  6501 PYPL            6225   (cum top-21 = 265668)
  3340 GILD            5872   (cum top-22 = 271540)
  4931 LYFT            5293   (cum top-23 = 276833)
  862  BIDU            5076   (cum top-24 = 281909)
  1709 CRON            4690   (cum top-25 = 286599)
  8530 WBA             4689   (cum top-26 = 291288)
  4378 JD              4374   (cum top-27 = 295662)
  7931 TQQQ            4348   (cum top-28 = 300010)
  624  AVGO            4328   (cum top-29 = 304338)
  6    AAL             4273   (cum top-30 = 308611)
  8028 TVIX            4019   (cum top-31 = 312630)
  2764 FCEL            3939   (cum top-32 = 316569)
EXIT=0
